Date,D,R,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-16,49195,48289,906,0.009293832834106109,97484,655300,Los Angeles,655300
2022-11-17,66119,68571,2452,0.018204766500853814,134690,463050,Los Angeles,463050
2022-11-18,69774,71632,1858,0.01313947074381568,141406,463050,Los Angeles,463050
2022-11-21,79282,78771,511,0.0032330926967536204,158053,332550,Los Angeles,332550
2022-11-22,79282,78771,511,0.0032330926967536204,158053,25250,Los Angeles,25250
2022-11-23,79562,79064,498,0.0031394601137266272,158626,25250,Los Angeles,25250
2022-11-24,79562,79064,498,0.0031394601137266272,158626,15105,Los Angeles,15105
2022-11-28,79562,79064,498,0.0031394601137266272,158626,15105,Los Angeles,15105
2022-11-29,79562,79064,498,0.0031394601137266272,158626,15105,Los Angeles,15105
2022-11-30,79794,79249,545,0.0034267462258634456,159043,11405,Los Angeles,11405
2022-12-01,79794,79249,545,0.0034267462258634456,159043,11405,Los Angeles,11405
2022-12-02,79794,79249,545,0.0034267462258634456,159043,11405,Los Angeles,11405
2022-12-05,79827,79271,556,0.0034947013790242493,159098,11405,Los Angeles,11405
2022-12-06,79852,79330,522,0.0032792652435576887,159182,0,Los Angeles,0
