Date,R,D,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-16,67839,68962,1123,0.008209004320143858,136801,192300,Riverside,67000
2022-11-17,75934,77173,1239,0.008092379838936169,153107,116500,Riverside,27000
2022-11-18,78363,79501,1138,0.0072087366340647645,157864,92500,Riverside,47000
2022-11-21,82819,82828,9,5.433240565781451e-05,165647,30700,Riverside,15000
2022-11-22,83192,83289,97,0.0005826490710651666,166481,20300,Riverside,8000
2022-11-23,83284,83352,68,0.0004080750858157901,166636,18600,Riverside,8000
2022-11-24,83926,83978,52,0.0003097007813988946,167904,14600,Riverside,4000
2022-11-28,83926,83978,52,0.0003097007813988946,167904,14600,Riverside,4000
2022-11-29,83926,83978,52,0.0003097007813988946,167904,14600,Riverside,4000
2022-11-30,84434,84455,21,0.00012434202345919509,168889,4650,Riverside,1000
2022-12-01,84434,84455,21,0.00012434202345919509,168889,4650,Riverside,1000
2022-12-02,84647,84627,20,0.00011815163580939778,169274,3150,Riverside,0
2022-12-05,84669,84635,34,0.0002008221896706516,169304,2250,Riverside,0
2022-12-06,84686,84651,35,0.00020668843784878675,169337,2050,Riverside,0
2022-12-07,84723,84654,69,0.00040737526346552367,169377,1851,Riverside,0
2022-12-08,84752,84667,85,0.0005017146837131608,169419,0,Riverside,0
2022-11-16,67839,68962,1123,0.008209004320143858,136801,192300,San Bernardino,125300
2022-11-17,75934,77173,1239,0.008092379838936169,153107,116500,San Bernardino,89500
2022-11-18,78363,79501,1138,0.0072087366340647645,157864,92500,San Bernardino,45500
2022-11-21,82819,82828,9,5.433240565781451e-05,165647,30700,San Bernardino,15700
2022-11-22,83192,83289,97,0.0005826490710651666,166481,20300,San Bernardino,12300
2022-11-23,83284,83352,68,0.0004080750858157901,166636,18600,San Bernardino,10600
2022-11-24,83926,83978,52,0.0003097007813988946,167904,14600,San Bernardino,10600
2022-11-28,83926,83978,52,0.0003097007813988946,167904,14600,San Bernardino,10600
2022-11-29,83926,83978,52,0.0003097007813988946,167904,14600,San Bernardino,10600
2022-11-30,84434,84455,21,0.00012434202345919509,168889,4650,San Bernardino,3650
2022-12-01,84434,84455,21,0.00012434202345919509,168889,4650,San Bernardino,3650
2022-12-02,84647,84627,20,0.00011815163580939778,169274,3150,San Bernardino,3150
2022-12-05,84669,84635,34,0.0002008221896706516,169304,2250,San Bernardino,2250
2022-12-06,84686,84651,35,0.00020668843784878675,169337,2050,San Bernardino,2050
2022-12-07,84723,84654,69,0.00040737526346552367,169377,1851,San Bernardino,1851
2022-12-08,84752,84667,85,0.0005017146837131608,169419,0,San Bernardino,0
