Date,R,D,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-14,39697,39613,84,0.001059135039717564,79310,237007,Fresno,76700
2022-11-15,50442,51203,761,0.007486841458015643,101645,237007,Fresno,76700
2022-11-16,55921,56521,600,0.005336084381281016,112442,159072,Fresno,76700
2022-11-17,60084,59121,963,0.00807852019630049,119205,84766,Fresno,22200
2022-11-18,62529,61702,827,0.006656953578414405,124231,84766,Fresno,22200
2022-11-21,63539,62674,865,0.0068534936971627325,126213,64752,Fresno,2600
2022-11-22,63539,62674,865,0.0068534936971627325,126213,64752,Fresno,2600
2022-11-23,66360,65660,700,0.005302226935312832,132020,21792,Fresno,2600
2022-11-24,66808,66215,593,0.004457875705705028,133023,6370,Fresno,2600
2022-11-28,66808,66215,593,0.004457875705705028,133023,6370,Fresno,2600
2022-11-29,66808,66215,593,0.004457875705705028,133023,6370,Fresno,2600
2022-11-30,66871,66272,599,0.0044989222114568544,133143,3972,Fresno,2600
2022-12-01,66871,66272,599,0.0044989222114568544,133143,3972,Fresno,2600
2022-12-02,66884,66300,584,0.004384911100432484,133184,3972,Fresno,2600
2022-12-06,67041,66476,565,0.00423167087337193,133517,0,Fresno,0
2022-12-09,67060,66496,564,0.0042229476773787775,133556,0,Fresno,0
2022-11-14,39697,39613,84,0.001059135039717564,79310,237007,Madera,11757
2022-11-15,50442,51203,761,0.007486841458015643,101645,237007,Madera,11757
2022-11-16,55921,56521,600,0.005336084381281016,112442,159072,Madera,11757
2022-11-17,60084,59121,963,0.00807852019630049,119205,84766,Madera,614
2022-11-18,62529,61702,827,0.006656953578414405,124231,84766,Madera,614
2022-11-21,63539,62674,865,0.0068534936971627325,126213,64752,Madera,200
2022-11-22,63539,62674,865,0.0068534936971627325,126213,64752,Madera,200
2022-11-23,66360,65660,700,0.005302226935312832,132020,21792,Madera,200
2022-11-24,66808,66215,593,0.004457875705705028,133023,6370,Madera,0
2022-11-28,66808,66215,593,0.004457875705705028,133023,6370,Madera,0
2022-11-29,66808,66215,593,0.004457875705705028,133023,6370,Madera,0
2022-11-30,66871,66272,599,0.0044989222114568544,133143,3972,Madera,0
2022-12-01,66871,66272,599,0.0044989222114568544,133143,3972,Madera,0
2022-12-02,66884,66300,584,0.004384911100432484,133184,3972,Madera,0
2022-12-06,67041,66476,565,0.00423167087337193,133517,0,Madera,0
2022-12-09,67060,66496,564,0.0042229476773787775,133556,0,Madera,0
2022-11-14,39697,39613,84,0.001059135039717564,79310,237007,Merced,22736
2022-11-15,50442,51203,761,0.007486841458015643,101645,237007,Merced,22736
2022-11-16,55921,56521,600,0.005336084381281016,112442,159072,Merced,1313
2022-11-17,60084,59121,963,0.00807852019630049,119205,84766,Merced,1313
2022-11-18,62529,61702,827,0.006656953578414405,124231,84766,Merced,1313
2022-11-21,63539,62674,865,0.0068534936971627325,126213,64752,Merced,1313
2022-11-22,63539,62674,865,0.0068534936971627325,126213,64752,Merced,1313
2022-11-23,66360,65660,700,0.005302226935312832,132020,21792,Merced,1313
2022-11-24,66808,66215,593,0.004457875705705028,133023,6370,Merced,0
2022-11-28,66808,66215,593,0.004457875705705028,133023,6370,Merced,0
2022-11-29,66808,66215,593,0.004457875705705028,133023,6370,Merced,0
2022-11-30,66871,66272,599,0.0044989222114568544,133143,3972,Merced,0
2022-12-01,66871,66272,599,0.0044989222114568544,133143,3972,Merced,0
2022-12-02,66884,66300,584,0.004384911100432484,133184,3972,Merced,0
2022-12-06,67041,66476,565,0.00423167087337193,133517,0,Merced,0
2022-12-09,67060,66496,564,0.0042229476773787775,133556,0,Merced,0
2022-11-14,39697,39613,84,0.001059135039717564,79310,237007,San Joaquin,85342
2022-11-15,50442,51203,761,0.007486841458015643,101645,237007,San Joaquin,85342
2022-11-16,55921,56521,600,0.005336084381281016,112442,159072,San Joaquin,28830
2022-11-17,60084,59121,963,0.00807852019630049,119205,84766,San Joaquin,28830
2022-11-18,62529,61702,827,0.006656953578414405,124231,84766,San Joaquin,28830
2022-11-21,63539,62674,865,0.0068534936971627325,126213,64752,San Joaquin,28830
2022-11-22,63539,62674,865,0.0068534936971627325,126213,64752,San Joaquin,28830
2022-11-23,66360,65660,700,0.005302226935312832,132020,21792,San Joaquin,3770
2022-11-24,66808,66215,593,0.004457875705705028,133023,6370,San Joaquin,3770
2022-11-28,66808,66215,593,0.004457875705705028,133023,6370,San Joaquin,3770
2022-11-29,66808,66215,593,0.004457875705705028,133023,6370,San Joaquin,3770
2022-11-30,66871,66272,599,0.0044989222114568544,133143,3972,San Joaquin,1372
2022-12-01,66871,66272,599,0.0044989222114568544,133143,3972,San Joaquin,1372
2022-12-02,66884,66300,584,0.004384911100432484,133184,3972,San Joaquin,1372
2022-12-06,67041,66476,565,0.00423167087337193,133517,0,San Joaquin,0
2022-12-09,67060,66496,564,0.0042229476773787775,133556,0,San Joaquin,0
2022-11-14,39697,39613,84,0.001059135039717564,79310,237007,Stanislaus,40472
2022-11-15,50442,51203,761,0.007486841458015643,101645,237007,Stanislaus,40472
2022-11-16,55921,56521,600,0.005336084381281016,112442,159072,Stanislaus,40472
2022-11-17,60084,59121,963,0.00807852019630049,119205,84766,Stanislaus,31809
2022-11-18,62529,61702,827,0.006656953578414405,124231,84766,Stanislaus,31809
2022-11-21,63539,62674,865,0.0068534936971627325,126213,64752,Stanislaus,31809
2022-11-22,63539,62674,865,0.0068534936971627325,126213,64752,Stanislaus,31809
2022-11-23,66360,65660,700,0.005302226935312832,132020,21792,Stanislaus,13909
2022-11-24,66808,66215,593,0.004457875705705028,133023,6370,Stanislaus,0
2022-11-28,66808,66215,593,0.004457875705705028,133023,6370,Stanislaus,0
2022-11-29,66808,66215,593,0.004457875705705028,133023,6370,Stanislaus,0
2022-11-30,66871,66272,599,0.0044989222114568544,133143,3972,Stanislaus,0
2022-12-01,66871,66272,599,0.0044989222114568544,133143,3972,Stanislaus,0
2022-12-02,66884,66300,584,0.004384911100432484,133184,3972,Stanislaus,0
2022-12-06,67041,66476,565,0.00423167087337193,133517,0,Stanislaus,0
2022-12-09,67060,66496,564,0.0042229476773787775,133556,0,Stanislaus,0
