Date,D1,D2,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-14,40053,35512,4541,0.06009395884337987,75565,1006300,Los Angeles,1006300
2022-11-15,44569,40440,4129,0.04857132774176852,85009,1006300,Los Angeles,1006300
2022-11-16,46310,42270,4040,0.04560848950101603,88580,655300,Los Angeles,655300
2022-11-17,49031,45674,3357,0.03544691410168418,94705,463050,Los Angeles,463050
2022-11-18,53000,49690,3310,0.03223293407342487,102690,463050,Los Angeles,463050
2022-11-21,61770,58698,3072,0.025500547863333,120468,332550,Los Angeles,332550
2022-11-22,61770,58698,3072,0.025500547863333,120468,25250,Los Angeles,25250
2022-11-23,62049,59025,3024,0.024976460676941373,121074,25250,Los Angeles,25250
2022-11-24,62049,59025,3024,0.024976460676941373,121074,15105,Los Angeles,15105
2022-11-28,62049,59025,3024,0.024976460676941373,121074,15105,Los Angeles,15105
2022-11-29,62049,59025,3024,0.024976460676941373,121074,15105,Los Angeles,15105
2022-11-30,62134,59098,3036,0.025042892965553648,121232,11405,Los Angeles,11405
2022-12-01,62134,59098,3036,0.025042892965553648,121232,11405,Los Angeles,11405
2022-12-02,62134,59098,3036,0.025042892965553648,121232,11405,Los Angeles,11405
2022-12-05,62214,59190,3024,0.024908569734110902,121404,11405,Los Angeles,11405
2022-12-06,62244,59223,3021,0.024870952604411075,121467,0,Los Angeles,0
