Date,D,R,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-14,127206,114698,12508,0.05170646206759706,241904,404181,Orange,239181
2022-11-15,135046,122250,12796,0.049732603693800136,257296,256541,Orange,176541
2022-11-16,137969,125950,12019,0.045540487801181424,263919,196760,Orange,116760
2022-11-17,149860,135229,14631,0.051320815604951435,285089,74759,Orange,59759
2022-11-18,151276,136493,14783,0.051371064986152085,287769,41204,Orange,26204
2022-11-21,151950,136882,15068,0.052168734766230886,288832,34197,Orange,23197
2022-11-22,152292,137259,15033,0.051918314908254506,289551,25491,Orange,14491
2022-11-23,152336,137318,15018,0.05184806700408073,289654,24485,Orange,13485
2022-11-24,152807,137631,15176,0.052252115769975,290438,19812,Orange,11112
2022-11-28,152829,137645,15184,0.05227318107644746,290474,19413,Orange,10713
2022-11-29,152983,137804,15179,0.052199720070016886,290787,15388,Orange,6688
2022-11-30,153160,137954,15206,0.05223383279402571,291114,11690,Orange,4690
2022-12-01,153179,137966,15213,0.0522523141390029,291145,11398,Orange,4398
2022-12-02,153370,138089,15281,0.05242932968273411,291459,5900,Orange,100
2022-12-05,153370,138089,15281,0.05242932968273411,291459,5800,Orange,0
2022-12-06,153370,138089,15281,0.05242932968273411,291459,5800,Orange,0
2022-12-07,153521,138189,15332,0.052559048369956465,291710,4600,Orange,0
2022-12-08,153521,138189,15332,0.052559048369956465,291710,4600,Orange,0
2022-12-09,153541,138194,15347,0.05260596088916311,291735,0,Orange,0
2022-11-14,127206,114698,12508,0.05170646206759706,241904,404181,San Diego,165000
2022-11-15,135046,122250,12796,0.049732603693800136,257296,256541,San Diego,80000
2022-11-16,137969,125950,12019,0.045540487801181424,263919,196760,San Diego,80000
2022-11-17,149860,135229,14631,0.051320815604951435,285089,74759,San Diego,15000
2022-11-18,151276,136493,14783,0.051371064986152085,287769,41204,San Diego,15000
2022-11-21,151950,136882,15068,0.052168734766230886,288832,34197,San Diego,11000
2022-11-22,152292,137259,15033,0.051918314908254506,289551,25491,San Diego,11000
2022-11-23,152336,137318,15018,0.05184806700408073,289654,24485,San Diego,11000
2022-11-24,152807,137631,15176,0.052252115769975,290438,19812,San Diego,8700
2022-11-28,152829,137645,15184,0.05227318107644746,290474,19413,San Diego,8700
2022-11-29,152983,137804,15179,0.052199720070016886,290787,15388,San Diego,8700
2022-11-30,153160,137954,15206,0.05223383279402571,291114,11690,San Diego,"7,000"
2022-12-01,153179,137966,15213,0.0522523141390029,291145,11398,San Diego,"7,000"
2022-12-02,153370,138089,15281,0.05242932968273411,291459,5900,San Diego,5800
2022-12-05,153370,138089,15281,0.05242932968273411,291459,5800,San Diego,5800
2022-12-06,153370,138089,15281,0.05242932968273411,291459,5800,San Diego,5800
2022-12-07,153521,138189,15332,0.052559048369956465,291710,4600,San Diego,4600
2022-12-08,153521,138189,15332,0.052559048369956465,291710,4600,San Diego,4600
2022-12-09,153541,138194,15347,0.05260596088916311,291735,0,San Diego,0
