Date,D1,D2,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-16,59159,54948,4211,0.03690395856520634,114107,145452,Sacramento,145452
2022-11-17,59159,54948,4211,0.03690395856520634,114107,145452,Sacramento,145452
2022-11-18,59159,54948,4211,0.03690395856520634,114107,145452,Sacramento,145452
2022-11-21,82298,78891,3407,0.02113667806115802,161189,145000,Sacramento,145000
2022-11-22,82298,78891,3407,0.02113667806115802,161189,145000,Sacramento,145000
2022-11-23,94685,89197,5488,0.029845226830249833,183882,89000,Sacramento,89000
2022-11-24,94685,89197,5488,0.029845226830249833,183882,89000,Sacramento,89000
2022-11-28,94685,89197,5488,0.029845226830249833,183882,89000,Sacramento,89000
2022-11-29,94685,89197,5488,0.029845226830249833,183882,89000,Sacramento,89000
2022-11-30,115048,108317,6731,0.030134533163208202,223365,12000,Sacramento,12000
2022-12-01,115048,108317,6731,0.030134533163208202,223365,12000,Sacramento,12000
2022-12-02,115048,108317,6731,0.030134533163208202,223365,12000,Sacramento,12000
2022-12-05,117693,110675,7018,0.03073110067960485,228368,2100,Sacramento,2100
2022-12-06,117693,110675,7018,0.03073110067960485,228368,2100,Sacramento,2100
2022-12-07,118135,111035,7100,0.03098136754374482,229170,0,Sacramento,0
