Date,D,R,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots
2022-11-28,67108,67481,373,0.002771400337323258,134589,6326,Fresno,2600
2022-11-29,67211,67588,377,0.002796756652497422,134799,6302,Fresno,2600
2022-11-30,67269,67625,356,0.0026391092265037734,134894,6173,Fresno,2600
2022-12-01,67679,67924,245,0.0018067446885393391,135603,6173,Fresno,2600
2022-12-02,67679,67924,245,0.0018067446885393391,135603,4117,Fresno,2600
2022-12-05,68264,68219,45,0.00032971139262765326,136483,100,Fresno,0
2022-12-06,68302,68290,12,8.785287571746515e-05,136592,100,Fresno,0
2022-12-07,68302,68290,12,8.785287571746515e-05,136592,100,Fresno,0
2022-12-08,68302,68290,12,8.785287571746515e-05,136592,100,Fresno,0
2022-12-09,68457,68437,20,0.00014609844112963314,136894,0,Fresno,0
2022-11-28,67108,67481,373,0.002771400337323258,134589,6326,Kern,2776
2022-11-29,67211,67588,377,0.002796756652497422,134799,6302,Kern,2776
2022-11-30,67269,67625,356,0.0026391092265037734,134894,6173,Kern,2776
2022-12-01,67679,67924,245,0.0018067446885393391,135603,6173,Kern,2776
2022-12-02,67679,67924,245,0.0018067446885393391,135603,4117,Kern,720
2022-12-05,68264,68219,45,0.00032971139262765326,136483,100,Kern,100
2022-12-06,68302,68290,12,8.785287571746515e-05,136592,100,Kern,100
2022-12-07,68302,68290,12,8.785287571746515e-05,136592,100,Kern,100
2022-12-08,68302,68290,12,8.785287571746515e-05,136592,100,Kern,100
2022-12-09,68457,68437,20,0.00014609844112963314,136894,0,Kern,0
2022-11-28,67108,67481,373,0.002771400337323258,134589,6326,Kings,24
2022-11-29,67211,67588,377,0.002796756652497422,134799,6302,Kings,0
2022-11-30,67269,67625,356,0.0026391092265037734,134894,6173,Kings,0
2022-12-01,67679,67924,245,0.0018067446885393391,135603,6173,Kings,0
2022-12-02,67679,67924,245,0.0018067446885393391,135603,4117,Kings,0
2022-12-05,68264,68219,45,0.00032971139262765326,136483,100,Kings,0
2022-12-06,68302,68290,12,8.785287571746515e-05,136592,100,Kings,0
2022-12-07,68302,68290,12,8.785287571746515e-05,136592,100,Kings,0
2022-12-08,68302,68290,12,8.785287571746515e-05,136592,100,Kings,0
2022-12-09,68457,68437,20,0.00014609844112963314,136894,0,Kings,0
2022-11-28,67108,67481,373,0.002771400337323258,134589,6326,Tulare,926
2022-11-29,67211,67588,377,0.002796756652497422,134799,6302,Tulare,926
2022-11-30,67269,67625,356,0.0026391092265037734,134894,6173,Tulare,797
2022-12-01,67679,67924,245,0.0018067446885393391,135603,6173,Tulare,797
2022-12-02,67679,67924,245,0.0018067446885393391,135603,4117,Tulare,797
2022-12-05,68264,68219,45,0.00032971139262765326,136483,100,Tulare,0
2022-12-06,68302,68290,12,8.785287571746515e-05,136592,100,Tulare,0
2022-12-07,68302,68290,12,8.785287571746515e-05,136592,100,Tulare,0
2022-12-08,68302,68290,12,8.785287571746515e-05,136592,100,Tulare,0
2022-12-09,68457,68437,20,0.00014609844112963314,136894,0,Tulare,0
