Date,R,D,Vote Difference,Margin,Total Votes Cast,Total Unprocessed Ballots*,Jurisdiction,Unprocessed Ballots,Race,Estimated Votes Remaining,Estimated Final Vote Count
2022-11-14,89150,79188,9962,0.0591785574261307,168338,346428,Alpine,18,CD-3,153578,321916
2022-11-15,89725,79595,10130,0.0598275454760217,169320,344949,Alpine,18,CD-3,152099,321419
2022-11-16,96334,85690,10644,0.0584758053883004,182024,297717,Alpine,18,CD-3,147300,329324
2022-11-17,99970,91154,8816,0.0461271216592369,191124,277382,Alpine,18,CD-3,135548,326672
2022-11-18,102427,92948,9479,0.0485169545745361,195375,268005,Alpine,18,CD-3,133315,328690
2022-11-21,123544,113469,10075,0.0425082168488648,237013,242993,Alpine,18,CD-3,109522,346535
2022-11-22,124396,114118,10278,0.0430918101243532,238514,237469,Alpine,18,CD-3,104072,342586
2022-11-23,148103,132576,15527,0.0553194218306321,280679,143446,Alpine,18,CD-3,61013,341692
2022-11-24,156469,137009,19460,0.0663082070887766,293478,129640,Alpine,18,CD-3,48137,341615
2022-11-28,156469,137009,19460,0.0663082070887766,293478,129640,Alpine,18,CD-3,48137,341615
2022-11-29,156469,137009,19460,0.0663082070887766,293478,129640,Alpine,18,CD-3,48137,341615
2022-11-30,178022,153941,24081,0.072541216942852,331963,27035,Alpine,18,CD-3,15607,347570
2022-12-01,178058,153954,24104,0.0725997855499198,332012,16787,Alpine,18,CD-3,5702,337714
2022-12-02,178065,153968,24097,0.0725741116093882,332033,16512,Alpine,18,CD-3,5591,337624
2022-12-05,180291,155767,24524,0.0729754982770831,336058,4063,Alpine,18,CD-3,2152,338210
2022-12-06,180291,155767,24524,0.0729754982770831,336058,4063,Alpine,18,CD-3,2152,338210
2022-12-07,181256,156633,24623,0.0728730441062005,337889,257,Alpine,18,CD-3,257,338146
2022-12-08,181438,156761,24677,0.072965916516607,338199,0,Alpine,0,CD-3,0,338199
2022-11-14,89150,79188,9962,0.0591785574261307,168338,346428,El Dorado,16086,CD-3,153578,321916
2022-11-15,89725,79595,10130,0.0598275454760217,169320,344949,El Dorado,16086,CD-3,152099,321419
2022-11-16,96334,85690,10644,0.0584758053883004,182024,297717,El Dorado,16086,CD-3,147300,329324
2022-11-17,99970,91154,8816,0.0461271216592369,191124,277382,El Dorado,1748,CD-3,135548,326672
2022-11-18,102427,92948,9479,0.0485169545745361,195375,268005,El Dorado,1748,CD-3,133315,328690
2022-11-21,123544,113469,10075,0.0425082168488648,237013,242993,El Dorado,399,CD-3,109522,346535
2022-11-22,124396,114118,10278,0.0430918101243532,238514,237469,El Dorado,275,CD-3,104072,342586
2022-11-23,148103,132576,15527,0.0553194218306321,280679,143446,El Dorado,275,CD-3,61013,341692
2022-11-24,156469,137009,19460,0.0663082070887766,293478,129640,El Dorado,275,CD-3,48137,341615
2022-11-28,156469,137009,19460,0.0663082070887766,293478,129640,El Dorado,275,CD-3,48137,341615
2022-11-29,156469,137009,19460,0.0663082070887766,293478,129640,El Dorado,275,CD-3,48137,341615
2022-11-30,178022,153941,24081,0.072541216942852,331963,27035,El Dorado,275,CD-3,15607,347570
2022-12-01,178058,153954,24104,0.0725997855499198,332012,16787,El Dorado,275,CD-3,5702,337714
2022-12-02,178065,153968,24097,0.0725741116093882,332033,16512,El Dorado,0,CD-3,5591,337624
2022-12-05,180291,155767,24524,0.0729754982770831,336058,4063,El Dorado,0,CD-3,2152,338210
2022-12-06,180291,155767,24524,0.0729754982770831,336058,4063,El Dorado,0,CD-3,2152,338210
2022-12-07,181256,156633,24623,0.0728730441062005,337889,257,El Dorado,0,CD-3,257,338146
2022-12-08,181438,156761,24677,0.072965916516607,338199,0,El Dorado,0,CD-3,0,338199
2022-11-14,89150,79188,9962,0.0591785574261307,168338,346428,Inyo,1172,CD-3,153578,321916
2022-11-15,89725,79595,10130,0.0598275454760217,169320,344949,Inyo,136,CD-3,152099,321419
2022-11-16,96334,85690,10644,0.0584758053883004,182024,297717,Inyo,98,CD-3,147300,329324
2022-11-17,99970,91154,8816,0.0461271216592369,191124,277382,Inyo,98,CD-3,135548,326672
2022-11-18,102427,92948,9479,0.0485169545745361,195375,268005,Inyo,98,CD-3,133315,328690
2022-11-21,123544,113469,10075,0.0425082168488648,237013,242993,Inyo,98,CD-3,109522,346535
2022-11-22,124396,114118,10278,0.0430918101243532,238514,237469,Inyo,98,CD-3,104072,342586
2022-11-23,148103,132576,15527,0.0553194218306321,280679,143446,Inyo,98,CD-3,61013,341692
