Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-13,0,0,2,2022-11-15,39613,79310,0.4994704324801412,11590.0,22335.0,0.5189164987687486,51203,101645,0.5037434207290078,11590,22335,0.5189164987687486,66496,133556,0.49788852616131063
CD-13,0,1,3,2022-11-16,39613,79310,0.4994704324801412,5318.0,10797.0,0.492544225247754,56521,112442,0.5026680421906405,16908,33132,0.5103223469757334,66496,133556,0.49788852616131063
CD-13,0,2,4,2022-11-17,39613,79310,0.4994704324801412,2600.0,6763.0,0.3844447730297205,59121,119205,0.49596073990184975,19508,39895,0.488983581902494,66496,133556,0.49788852616131063
CD-13,0,3,5,2022-11-18,39613,79310,0.4994704324801412,2581.0,5026.0,0.5135296458416235,61702,124231,0.4966715232107928,22089,44921,0.4917299258698604,66496,133556,0.49788852616131063
CD-13,0,4,6,2022-11-21,39613,79310,0.4994704324801412,972.0,1982.0,0.49041372351160445,62674,126213,0.49657325315141865,23061,46903,0.4916743065475556,66496,133556,0.49788852616131063
CD-13,0,5,7,2022-11-22,39613,79310,0.4994704324801412,0.0,0.0,,62674,126213,0.49657325315141865,23061,46903,0.4916743065475556,66496,133556,0.49788852616131063
CD-13,0,6,8,2022-11-23,39613,79310,0.4994704324801412,2986.0,5807.0,0.5142069915619081,65660,132020,0.4973488865323436,26047,52710,0.49415670650730414,66496,133556,0.49788852616131063
CD-13,0,7,9,2022-11-24,39613,79310,0.4994704324801412,555.0,1003.0,0.5533399800598205,66215,133023,0.4977710621471475,26602,53713,0.4952618546720533,66496,133556,0.49788852616131063
CD-13,0,8,10,2022-11-28,39613,79310,0.4994704324801412,0.0,0.0,,66215,133023,0.4977710621471475,26602,53713,0.4952618546720533,66496,133556,0.49788852616131063
CD-13,0,9,11,2022-11-29,39613,79310,0.4994704324801412,0.0,0.0,,66215,133023,0.4977710621471475,26602,53713,0.4952618546720533,66496,133556,0.49788852616131063
CD-13,0,10,12,2022-11-30,39613,79310,0.4994704324801412,57.0,120.0,0.475,66272,133143,0.49775053889427157,26659,53833,0.49521668864822693,66496,133556,0.49788852616131063
CD-13,0,11,13,2022-12-01,39613,79310,0.4994704324801412,0.0,0.0,,66272,133143,0.49775053889427157,26659,53833,0.49521668864822693,66496,133556,0.49788852616131063
CD-13,0,12,14,2022-12-02,39613,79310,0.4994704324801412,28.0,41.0,0.6829268292682927,66300,133184,0.49780754444978376,26687,53874,0.49535954263652227,66496,133556,0.49788852616131063
CD-13,0,14,16,2022-12-06,39613,79310,0.4994704324801412,176.0,333.0,0.5285285285285285,66476,133517,0.497884164563314,26863,54207,0.4955633036323722,66496,133556,0.49788852616131063
CD-13,0,17,19,2022-12-09,39613,79310,0.4994704324801412,20.0,39.0,0.5128205128205128,66496,133556,0.49788852616131063,26883,54246,0.4955757106514766,66496,133556,0.49788852616131063
CD-22,1,0,2,2022-11-15,26799,56476,0.47452015015227705,348.0,881.0,0.39500567536889897,27147,57357,0.473298812699409,348,881,0.39500567536889897,49859,102852,0.48476451600357795
CD-22,1,1,3,2022-11-16,26799,56476,0.47452015015227705,4995.0,10206.0,0.4894179894179894,32142,67563,0.4757337596021491,5343,11087,0.48191575719310903,49859,102852,0.48476451600357795
CD-22,1,2,4,2022-11-17,26799,56476,0.47452015015227705,1530.0,3746.0,0.408435664709023,33672,71309,0.4721984602224123,6873,14833,0.46335872716240817,49859,102852,0.48476451600357795
CD-22,1,3,5,2022-11-18,26799,56476,0.47452015015227705,926.0,2332.0,0.39708404802744424,34598,73641,0.4698198014692902,7799,17165,0.45435479172735216,49859,102852,0.48476451600357795
CD-22,1,4,6,2022-11-21,26799,56476,0.47452015015227705,5717.0,11536.0,0.4955790568654646,40315,85177,0.47330852225366005,13516,28701,0.47092435803630533,49859,102852,0.48476451600357795
CD-22,1,5,7,2022-11-22,26799,56476,0.47452015015227705,8146.0,15126.0,0.5385429062541319,48461,100303,0.48314606741573035,21662,43827,0.4942615282816529,49859,102852,0.48476451600357795
CD-22,1,6,8,2022-11-23,26799,56476,0.47452015015227705,128.0,265.0,0.4830188679245283,48589,100568,0.4831457322408719,21790,44092,0.49419395808763494,49859,102852,0.48476451600357795
CD-22,1,7,9,2022-11-24,26799,56476,0.47452015015227705,120.0,206.0,0.5825242718446602,48709,100774,0.4833488796713438,21910,44298,0.494604722560838,49859,102852,0.48476451600357795
CD-22,1,8,10,2022-11-28,26799,56476,0.47452015015227705,0.0,0.0,,48709,100774,0.4833488796713438,21910,44298,0.494604722560838,49859,102852,0.48476451600357795
CD-22,1,9,11,2022-11-29,26799,56476,0.47452015015227705,56.0,103.0,0.5436893203883495,48765,100877,0.48341049000267655,21966,44401,0.49471858741920227,49859,102852,0.48476451600357795
CD-22,1,10,12,2022-11-30,26799,56476,0.47452015015227705,18.0,35.0,0.5142857142857142,48783,100912,0.4834211986681465,21984,44436,0.4947339994598974,49859,102852,0.48476451600357795
CD-22,1,11,13,2022-12-01,26799,56476,0.47452015015227705,413.0,756.0,0.5462962962962963,49196,101668,0.483888735885431,22397,45192,0.495596565763852,49859,102852,0.48476451600357795
CD-22,1,12,14,2022-12-02,26799,56476,0.47452015015227705,0.0,0.0,,49196,101668,0.483888735885431,22397,45192,0.495596565763852,49859,102852,0.48476451600357795
CD-22,1,13,15,2022-12-05,26799,56476,0.47452015015227705,526.0,903.0,0.5825027685492802,49722,102571,0.4847569000984684,22923,46095,0.4972990562967784,49859,102852,0.48476451600357795
CD-22,1,14,16,2022-12-06,26799,56476,0.47452015015227705,0.0,0.0,,49722,102571,0.4847569000984684,22923,46095,0.4972990562967784,49859,102852,0.48476451600357795
CD-22,1,15,17,2022-12-07,26799,56476,0.47452015015227705,0.0,0.0,,49722,102571,0.4847569000984684,22923,46095,0.4972990562967784,49859,102852,0.48476451600357795
