,Race,Datetime,D,Total Votes Cast,Dem_Prop_Before_11_08
0,AD-58,2024-11-07 17:37:00,48086,98720,0.48709481361426255
1,CD-13,2024-11-07 17:37:00,55625,114417,0.4861602733859479
2,CD-21,2024-11-07 17:37:00,64986,128496,0.5057433694434068
3,CD-22,2024-11-07 17:37:00,45679,101615,0.44953008906165426
4,CD-40,2024-11-07 17:37:00,130259,298774,0.43597836491796477
5,CD-41,2024-11-07 17:37:00,119833,247121,0.4849162960654902
6,CD-45,2024-11-07 17:37:00,117564,244488,0.48085795621871014
7,CD-47,2024-11-07 17:37:00,137577,275770,0.4988831272437176
8,CD-49,2024-11-07 17:37:00,145722,285076,0.5111689514375114
9,CD-9,2024-11-07 17:37:00,74163,146313,0.5068790879826126
10,SD-19,2024-11-07 17:37:00,123971,265553,0.4668408942847567
11,SD-37,2024-11-07 17:37:00,171458,355138,0.482792604564986
12,SD-5,2024-11-07 17:37:00,91382,182173,0.5016220845020941
