Race,Batch_ID,New_Dem_Prop,New_Total,Votes_Remaining,D,Total Votes Cast
CD-21,3,0.4594847775175644,2135.0,64900,65967,130631
CD-45,3,0.563815979232766,13868.0,57519,125383,258356
CD-22,3,0.49550854824688495,13804.0,52088,52519,115419
CD-47,3,0.5359809207797595,9644.0,67861,142746,285414
CD-13,3,0.48784903558248033,14361.0,82143,62631,128778
CD-40,3,0.47224797986488276,15098.0,69763,137389,313872
AD-58,3,0.5714285714285714,84.0,57184,48134,98804
CD-49,3,0.510184287099903,3093.0,90178,147300,288169
SD-19,3,0.41935483870967744,1457.0,116020,124582,267010
SD-5,3,0.6423344140805929,21590.0,155041,105250,203763
SD-37,3,0.5213187325256291,17168.0,86309,180408,372306
CD-9,3,0.4725,1200.0,103844,74730,147513
CD-41,4,0.4934090133680717,32241.0,75083,135741,279362
CD-45,4,0.5339911198815984,10135.0,47384,130795,268491
CD-9,4,0.5532045699062452,19519.0,84325,85528,167032
CD-47,4,0.5916139350531952,14381.0,53480,151254,299795
CD-40,4,0.49937733499377335,18469.0,51294,146612,332341
CD-49,4,0.5651898035753696,36248.0,53930,167787,324417
SD-19,4,0.4793081000650981,21506.0,94514,134890,288516
SD-37,4,0.5091434452184928,25264.0,61045,193271,397570
CD-22,4,0.5241654210264076,18063.0,34025,61987,133482
AD-58,4,0.5310780669144981,13450.0,43734,55277,112254
SD-5,4,0.5245558530055975,20545.0,134496,116027,224308
CD-13,4,0.597254004576659,1311.0,80832,63414,130089
CD-45,5,0.6529481598733676,2527.0,44857,132445,271018
SD-19,7,0.35714285714285715,7868.0,86646,137700,296384
SD-37,7,0.5110659169757148,8359.0,52686,197543,405929
SD-5,7,0.6400173276857913,20776.0,113720,129324,245084
CD-40,7,0.4669335705812574,6744.0,44550,149761,339085
CD-45,7,0.5970110120608285,11442.0,33415,139276,282460
CD-49,7,0.5725409424294182,19906.0,34024,179184,344323
CD-47,7,0.5368111682586334,6805.0,46675,154907,306600
AD-58,7,0.5119047619047619,168.0,43566,55363,112422
CD-40,8,0.5481481481481482,405.0,44145,149983,339490
CD-41,8,0.5086001450626878,19302.0,55781,145558,298664
CD-9,8,0.5571196933962265,27136.0,57189,100646,194168
AD-58,8,0.534769408703195,6917.0,36649,59062,119339
SD-5,8,0.5249629786333827,28362.0,85358,144213,273446
CD-13,8,0.5836758661186142,1703.0,79129,64408,131792
SD-19,8,0.499914030261348,11632.0,75014,143515,308016
CD-13,9,0.49604464672735155,18456.0,60673,73563,150248
SD-37,9,0.5430700266537436,16508.0,36178,206508,422437
CD-45,9,0.5863962822137727,9468.0,23947,144828,291928
AD-58,9,0.5178705665277114,14633.0,22016,66640,133972
CD-47,9,0.5831074420896993,16232.0,30443,164372,322832
CD-49,9,0.5158436213991769,4860.0,29164,181691,349183
CD-40,9,0.4950836204723086,11899.0,32246,155874,351389
SD-19,9,0.3995489569629769,15963.0,59051,149893,323979
CD-21,9,0.5937832093517534,22584.0,42316,79377,153215
CD-9,9,0.2676056338028169,71.0,57118,100665,194239
CD-22,9,0.4971150926207106,6586.0,27439,65261,140068
CD-22,10,0.41837732160312807,2046.0,25393,66117,142114
CD-21,10,0.43937068303914045,2606.0,39710,80522,155821
CD-41,10,0.48159057437407954,15617.0,40164,153079,314281
CD-40,10,0.41081081081081083,185.0,32061,155950,351574
SD-5,11,0.48717547211174095,31931.0,53427,159769,305377
SD-37,11,0.5524617799221067,17203.0,18975,216012,439640
CD-21,11,0.49032258064516127,1860.0,37850,81434,157681
CD-22,11,0.49045379081350304,14456.0,10937,73207,156570
CD-49,11,0.5617518854217117,14453.0,14712,189810,363635
SD-19,11,0.3976,15000.0,44051,155857,338979
CD-41,11,0.45359889191383673,20937.0,19227,162576,335218
CD-40,11,0.5037289580225869,14079.0,17982,163042,365653
CD-45,11,0.5914581946161894,10513.0,13434,151046,302441
CD-47,11,0.5978141325268078,14548.0,15895,173069,337380
CD-9,11,0.5162691169991819,31778.0,25340,117071,226017
AD-58,11,0.5053579082726104,11665.0,10351,72535,145637
CD-13,11,0.45251809186235414,6771.0,53902,76627,157019
CD-45,12,0.5413919413919414,1365.0,12069,151785,303806
SD-37,12,0.5324751316559392,1709.0,17266,216922,441349
AD-58,12,0.5103225806451613,1550.0,8801,73326,147187
CD-22,12,0.40123711340206186,2425.0,8512,74180,158995
CD-41,12,0.45440629783511916,4573.0,14654,164654,339791
CD-47,12,0.5272842639593909,1576.0,14319,173900,338956
CD-49,12,0.48434237995824636,479.0,14233,190042,364114
CD-13,12,0.5504106414067618,19847.0,34055,87551,176866
SD-19,12,0.39969947407963935,9317.0,34734,159581,348296
CD-21,12,0.421293042867182,2846.0,35004,82633,160527
CD-9,12,0.296875,64.0,25276,117090,226081
CD-40,12,0.4827586206896552,2291.0,15691,164148,367944
CD-9,13,0.5362595419847328,12052.0,13224,123553,238133
CD-13,13,0.4337248322147651,1192.0,32863,88068,178058
CD-45,13,0.5921325051759835,966.0,11103,152357,304772
CD-49,13,0.6263796909492274,3624.0,10609,192312,367738
SD-19,13,0.4149114872722574,7739.0,26995,162792,356035
CD-21,13,0.42987951807228914,2075.0,32929,83525,162602
CD-41,13,0.4897435897435897,780.0,13874,165036,340571
SD-37,13,0.5681592039800994,1005.0,16261,217493,442354
