Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-41,5,0,3,2024-11-08 17:12:00,119833,247121,0.4849162960654902,0.0,0.0,,119833,247121,0.4849162960654902,0,0,,171229,354445,0.48309046537544614
CD-21,2,0,3,2024-11-08 17:12:00,64986,128496,0.5057433694434068,981.0,2135.0,0.4594847775175644,65967,130631,0.5049873307254786,981,2135,0.4594847775175644,102798,195531,0.5257376068244933
CD-45,6,0,3,2024-11-08 17:12:00,117564,244488,0.48085795621871014,7819.0,13868.0,0.563815979232766,125383,258356,0.48531096626360526,7819,13868,0.563815979232766,158264,315875,0.5010336367233874
CD-22,3,0,3,2024-11-08 17:12:00,45679,101615,0.44953008906165426,6840.0,13804.0,0.49550854824688495,52519,115419,0.45502906800440135,6840,13804,0.49550854824688495,78023,167507,0.46578948939447307
CD-47,7,0,3,2024-11-08 17:12:00,137577,275770,0.4988831272437176,5169.0,9644.0,0.5359809207797595,142746,285414,0.5001366436124367,5169,9644,0.5359809207797595,181721,353275,0.5143896397990234
CD-13,1,0,3,2024-11-08 17:12:00,55625,114417,0.4861602733859479,7006.0,14361.0,0.48784903558248033,62631,128778,0.4863485999161347,7006,14361,0.48784903558248033,105554,210921,0.5004432939346959
CD-40,4,0,3,2024-11-08 17:12:00,130259,298774,0.43597836491796477,7130.0,15098.0,0.47224797986488276,137389,313872,0.4377230208492634,7130,15098,0.47224797986488276,171637,383635,0.447396613969007
AD-58,0,0,3,2024-11-08 17:12:00,48086,98720,0.48709481361426255,48.0,84.0,0.5714285714285714,48134,98804,0.48716651147726814,48,84,0.5714285714285714,77696,155988,0.4980895966356386
CD-49,8,0,3,2024-11-08 17:12:00,145722,285076,0.5111689514375114,1578.0,3093.0,0.510184287099903,147300,288169,0.5111583827545642,1578,3093,0.510184287099903,197397,378347,0.5217353381948318
SD-19,10,0,3,2024-11-08 17:12:00,123971,265553,0.4668408942847567,611.0,1457.0,0.41935483870967744,124582,267010,0.4665817759634471,611,1457,0.41935483870967744,173291,383030,0.45242148134610866
SD-5,12,0,3,2024-11-08 17:12:00,91382,182173,0.5016220845020941,13868.0,21590.0,0.6423344140805929,105250,203763,0.516531460569387,13868,21590,0.6423344140805929,189668,358804,0.5286117211625289
SD-37,11,0,3,2024-11-08 17:12:00,171458,355138,0.482792604564986,8950.0,17168.0,0.5213187325256291,180408,372306,0.48456914473578183,8950,17168,0.5213187325256291,226270,458615,0.4933767975316987
CD-9,9,0,3,2024-11-08 17:12:00,74163,146313,0.5068790879826126,567.0,1200.0,0.4725,74730,147513,0.5065994183563483,567,1200,0.4725,130183,251357,0.5179207262976563
CD-21,2,1,4,2024-11-09 17:44:00,64986,128496,0.5057433694434068,0.0,0.0,,65967,130631,0.5049873307254786,981,2135,0.4594847775175644,102798,195531,0.5257376068244933
CD-41,5,1,4,2024-11-09 17:44:00,119833,247121,0.4849162960654902,15908.0,32241.0,0.4934090133680717,135741,279362,0.4858964354493453,15908,32241,0.4934090133680717,171229,354445,0.48309046537544614
CD-45,6,1,4,2024-11-09 17:44:00,117564,244488,0.48085795621871014,5412.0,10135.0,0.5339911198815984,130795,268491,0.48714854501640653,13231,24003,0.5512227638211891,158264,315875,0.5010336367233874
CD-9,9,1,4,2024-11-09 17:44:00,74163,146313,0.5068790879826126,10798.0,19519.0,0.5532045699062452,85528,167032,0.5120455960534508,11365,20719,0.5485303344756021,130183,251357,0.5179207262976563
CD-47,7,1,4,2024-11-09 17:44:00,137577,275770,0.4988831272437176,8508.0,14381.0,0.5916139350531952,151254,299795,0.5045247585850331,13677,24025,0.5692819979188345,181721,353275,0.5143896397990234
CD-40,4,1,4,2024-11-09 17:44:00,130259,298774,0.43597836491796477,9223.0,18469.0,0.49937733499377335,146612,332341,0.4411493014704776,16353,33567,0.48717490392349627,171637,383635,0.447396613969007
CD-49,8,1,4,2024-11-09 17:44:00,145722,285076,0.5111689514375114,20487.0,36248.0,0.5651898035753696,167787,324417,0.5171954613969059,22065,39341,0.5608652550774001,197397,378347,0.5217353381948318
SD-19,10,1,4,2024-11-09 17:44:00,123971,265553,0.4668408942847567,10308.0,21506.0,0.4793081000650981,134890,288516,0.4675303969277267,10919,22963,0.47550407176762616,173291,383030,0.45242148134610866
SD-37,11,1,4,2024-11-09 17:44:00,171458,355138,0.482792604564986,12863.0,25264.0,0.5091434452184928,193271,397570,0.48613074427144903,21813,42432,0.5140695701357466,226270,458615,0.4933767975316987
CD-22,3,1,4,2024-11-09 17:44:00,45679,101615,0.44953008906165426,9468.0,18063.0,0.5241654210264076,61987,133482,0.4643847110471824,16308,31867,0.5117519691216619,78023,167507,0.46578948939447307
AD-58,0,1,4,2024-11-09 17:44:00,48086,98720,0.48709481361426255,7143.0,13450.0,0.5310780669144981,55277,112254,0.49242788675681937,7191,13534,0.5313285059849269,77696,155988,0.4980895966356386
SD-5,12,1,4,2024-11-09 17:44:00,91382,182173,0.5016220845020941,10777.0,20545.0,0.5245558530055975,116027,224308,0.5172664372202507,24645,42135,0.5849056603773585,189668,358804,0.5286117211625289
CD-13,1,1,4,2024-11-09 17:44:00,55625,114417,0.4861602733859479,783.0,1311.0,0.597254004576659,63414,130089,0.4874662730899615,7789,15672,0.4970010209290454,105554,210921,0.5004432939346959
SD-37,11,2,5,2024-11-10 19:32:00,171458,355138,0.482792604564986,0.0,0.0,,193271,397570,0.48613074427144903,21813,42432,0.5140695701357466,226270,458615,0.4933767975316987
SD-5,12,2,5,2024-11-10 19:32:00,91382,182173,0.5016220845020941,0.0,0.0,,116027,224308,0.5172664372202507,24645,42135,0.5849056603773585,189668,358804,0.5286117211625289
CD-49,8,2,5,2024-11-10 19:32:00,145722,285076,0.5111689514375114,0.0,0.0,,167787,324417,0.5171954613969059,22065,39341,0.5608652550774001,197397,378347,0.5217353381948318
CD-41,5,2,5,2024-11-10 19:32:00,119833,247121,0.4849162960654902,0.0,0.0,,135741,279362,0.4858964354493453,15908,32241,0.4934090133680717,171229,354445,0.48309046537544614
CD-21,2,2,5,2024-11-10 19:32:00,64986,128496,0.5057433694434068,0.0,0.0,,65967,130631,0.5049873307254786,981,2135,0.4594847775175644,102798,195531,0.5257376068244933
CD-40,4,2,5,2024-11-10 19:32:00,130259,298774,0.43597836491796477,0.0,0.0,,146612,332341,0.4411493014704776,16353,33567,0.48717490392349627,171637,383635,0.447396613969007
SD-19,10,2,5,2024-11-10 19:32:00,123971,265553,0.4668408942847567,0.0,0.0,,134890,288516,0.4675303969277267,10919,22963,0.47550407176762616,173291,383030,0.45242148134610866
CD-9,9,2,5,2024-11-10 19:32:00,74163,146313,0.5068790879826126,0.0,0.0,,85528,167032,0.5120455960534508,11365,20719,0.5485303344756021,130183,251357,0.5179207262976563
CD-47,7,2,5,2024-11-10 19:32:00,137577,275770,0.4988831272437176,0.0,0.0,,151254,299795,0.5045247585850331,13677,24025,0.5692819979188345,181721,353275,0.5143896397990234
CD-22,3,2,5,2024-11-10 19:32:00,45679,101615,0.44953008906165426,0.0,0.0,,61987,133482,0.4643847110471824,16308,31867,0.5117519691216619,78023,167507,0.46578948939447307
AD-58,0,2,5,2024-11-10 17:13:00,48086,98720,0.48709481361426255,0.0,0.0,,55277,112254,0.49242788675681937,7191,13534,0.5313285059849269,77696,155988,0.4980895966356386
CD-45,6,2,5,2024-11-10 19:32:00,117564,244488,0.48085795621871014,1650.0,2527.0,0.6529481598733676,132445,271018,0.48869447785755926,14881,26530,0.5609121748963437,158264,315875,0.5010336367233874
CD-13,1,2,5,2024-11-10 19:32:00,55625,114417,0.4861602733859479,0.0,0.0,,63414,130089,0.4874662730899615,7789,15672,0.4970010209290454,105554,210921,0.5004432939346959
CD-9,9,3,7,2024-11-11 17:07:00,74163,146313,0.5068790879826126,0.0,0.0,,85528,167032,0.5120455960534508,11365,20719,0.5485303344756021,130183,251357,0.5179207262976563
SD-19,10,3,7,2024-11-11 17:07:00,123971,265553,0.4668408942847567,2810.0,7868.0,0.35714285714285715,137700,296384,0.4645999784063917,13729,30831,0.4452985631345075,173291,383030,0.45242148134610866
CD-22,3,3,7,2024-11-11 17:07:00,45679,101615,0.44953008906165426,0.0,0.0,,61987,133482,0.4643847110471824,16308,31867,0.5117519691216619,78023,167507,0.46578948939447307
SD-37,11,3,7,2024-11-11 17:07:00,171458,355138,0.482792604564986,4272.0,8359.0,0.5110659169757148,197543,405929,0.48664421610675757,26085,50791,0.5135752397078223,226270,458615,0.4933767975316987
SD-5,12,3,7,2024-11-11 17:07:00,91382,182173,0.5016220845020941,13297.0,20776.0,0.6400173276857913,129324,245084,0.5276721450604691,37942,62911,0.6031059751076918,189668,358804,0.5286117211625289
CD-40,4,3,7,2024-11-11 17:07:00,130259,298774,0.43597836491796477,3149.0,6744.0,0.4669335705812574,149761,339085,0.4416621201173747,19502,40311,0.4837885440698569,171637,383635,0.447396613969007
CD-45,6,3,7,2024-11-11 17:07:00,117564,244488,0.48085795621871014,6831.0,11442.0,0.5970110120608285,139276,282460,0.49308220633009986,21712,37972,0.5717897398082797,158264,315875,0.5010336367233874
CD-49,8,3,7,2024-11-11 17:07:00,145722,285076,0.5111689514375114,11397.0,19906.0,0.5725409424294182,179184,344323,0.520395094141257,33462,59247,0.5647880905362297,197397,378347,0.5217353381948318
CD-21,2,3,7,2024-11-11 17:07:00,64986,128496,0.5057433694434068,0.0,0.0,,65967,130631,0.5049873307254786,981,2135,0.4594847775175644,102798,195531,0.5257376068244933
CD-41,5,3,7,2024-11-11 17:07:00,119833,247121,0.4849162960654902,0.0,0.0,,135741,279362,0.4858964354493453,15908,32241,0.4934090133680717,171229,354445,0.48309046537544614
CD-47,7,3,7,2024-11-11 17:07:00,137577,275770,0.4988831272437176,3653.0,6805.0,0.5368111682586334,154907,306600,0.5052413568166992,17330,30830,0.5621148232241323,181721,353275,0.5143896397990234
AD-58,0,3,7,2024-11-11 17:07:00,48086,98720,0.48709481361426255,86.0,168.0,0.5119047619047619,55363,112422,0.49245699240362206,7277,13702,0.5310903517734638,77696,155988,0.4980895966356386
CD-13,1,3,7,2024-11-11 17:07:00,55625,114417,0.4861602733859479,0.0,0.0,,63414,130089,0.4874662730899615,7789,15672,0.4970010209290454,105554,210921,0.5004432939346959
CD-40,4,4,8,2024-11-12 08:08:00,130259,298774,0.43597836491796477,222.0,405.0,0.5481481481481482,149983,339490,0.4417891543197149,19724,40716,0.48442872580803614,171637,383635,0.447396613969007
CD-49,8,4,8,2024-11-12 08:08:00,145722,285076,0.5111689514375114,0.0,0.0,,179184,344323,0.520395094141257,33462,59247,0.5647880905362297,197397,378347,0.5217353381948318
CD-41,5,4,8,2024-11-12 08:08:00,119833,247121,0.4849162960654902,9817.0,19302.0,0.5086001450626878,145558,298664,0.4873637264618434,25725,51543,0.49909784063791396,171229,354445,0.48309046537544614
CD-47,7,4,8,2024-11-12 08:08:00,137577,275770,0.4988831272437176,0.0,0.0,,154907,306600,0.5052413568166992,17330,30830,0.5621148232241323,181721,353275,0.5143896397990234
CD-9,9,4,8,2024-11-12 08:08:00,74163,146313,0.5068790879826126,15118.0,27136.0,0.5571196933962265,100646,194168,0.5183449384038564,26483,47855,0.5534008985476961,130183,251357,0.5179207262976563
CD-22,3,4,8,2024-11-12 08:08:00,45679,101615,0.44953008906165426,0.0,0.0,,61987,133482,0.4643847110471824,16308,31867,0.5117519691216619,78023,167507,0.46578948939447307
AD-58,0,4,8,2024-11-12 08:08:00,48086,98720,0.48709481361426255,3699.0,6917.0,0.534769408703195,59062,119339,0.4949094596066667,10976,20619,0.532324555022067,77696,155988,0.4980895966356386
SD-5,12,4,8,2024-11-12 08:08:00,91382,182173,0.5016220845020941,14889.0,28362.0,0.5249629786333827,144213,273446,0.527391148526583,52831,91273,0.5788239676574671,189668,358804,0.5286117211625289
CD-45,6,4,8,2024-11-12 08:08:00,117564,244488,0.48085795621871014,0.0,0.0,,139276,282460,0.49308220633009986,21712,37972,0.5717897398082797,158264,315875,0.5010336367233874
SD-37,11,4,8,2024-11-12 08:08:00,171458,355138,0.482792604564986,0.0,0.0,,197543,405929,0.48664421610675757,26085,50791,0.5135752397078223,226270,458615,0.4933767975316987
CD-21,2,4,8,2024-11-12 08:08:00,64986,128496,0.5057433694434068,0.0,0.0,,65967,130631,0.5049873307254786,981,2135,0.4594847775175644,102798,195531,0.5257376068244933
CD-13,1,4,8,2024-11-12 08:08:00,55625,114417,0.4861602733859479,994.0,1703.0,0.5836758661186142,64408,131792,0.4887094816073813,8783,17375,0.5054964028776978,105554,210921,0.5004432939346959
SD-19,10,4,8,2024-11-12 08:08:00,123971,265553,0.4668408942847567,5815.0,11632.0,0.499914030261348,143515,308016,0.46593358786556544,19544,42463,0.4602595200527518,173291,383030,0.45242148134610866
CD-13,1,5,9,2024-11-12 17:19:00,55625,114417,0.4861602733859479,9155.0,18456.0,0.49604464672735155,73563,150248,0.48961051062243754,17938,35831,0.5006279478663727,105554,210921,0.5004432939346959
SD-37,11,5,9,2024-11-12 19:20:00,171458,355138,0.482792604564986,8965.0,16508.0,0.5430700266537436,206508,422437,0.4888492248548304,35050,67299,0.5208101160492726,226270,458615,0.4933767975316987
CD-45,6,5,9,2024-11-12 17:19:00,117564,244488,0.48085795621871014,5552.0,9468.0,0.5863962822137727,144828,291928,0.4961086295250884,27264,47440,0.5747048903878583,158264,315875,0.5010336367233874
AD-58,0,5,9,2024-11-12 19:20:00,48086,98720,0.48709481361426255,7578.0,14633.0,0.5178705665277114,66640,133972,0.49741737079389725,18554,35252,0.5263247475320549,77696,155988,0.4980895966356386
CD-47,7,5,9,2024-11-12 17:19:00,137577,275770,0.4988831272437176,9465.0,16232.0,0.5831074420896993,164372,322832,0.5091564652822521,26795,47062,0.5693553185160002,181721,353275,0.5143896397990234
CD-41,5,5,9,2024-11-12 17:19:00,119833,247121,0.4849162960654902,0.0,0.0,,145558,298664,0.4873637264618434,25725,51543,0.49909784063791396,171229,354445,0.48309046537544614
CD-49,8,5,9,2024-11-12 17:19:00,145722,285076,0.5111689514375114,2507.0,4860.0,0.5158436213991769,181691,349183,0.5203317458180954,35969,64107,0.5610775734319186,197397,378347,0.5217353381948318
CD-40,4,5,9,2024-11-12 17:19:00,130259,298774,0.43597836491796477,5891.0,11899.0,0.4950836204723086,155874,351389,0.443593851828031,25615,52615,0.4868383540815357,171637,383635,0.447396613969007
SD-5,12,5,9,2024-11-12 19:20:00,91382,182173,0.5016220845020941,0.0,0.0,,144213,273446,0.527391148526583,52831,91273,0.5788239676574671,189668,358804,0.5286117211625289
SD-19,10,5,9,2024-11-12 19:20:00,123971,265553,0.4668408942847567,6378.0,15963.0,0.3995489569629769,149893,323979,0.46266270344682836,25922,58426,0.44367233765789205,173291,383030,0.45242148134610866
CD-21,2,5,9,2024-11-12 17:19:00,64986,128496,0.5057433694434068,13410.0,22584.0,0.5937832093517534,79377,153215,0.5180759064060307,14391,24719,0.5821837452971399,102798,195531,0.5257376068244933
CD-9,9,5,9,2024-11-12 17:19:00,74163,146313,0.5068790879826126,19.0,71.0,0.2676056338028169,100665,194239,0.5182532859003599,26502,47926,0.5529775069899429,130183,251357,0.5179207262976563
CD-22,3,5,9,2024-11-12 17:19:00,45679,101615,0.44953008906165426,3274.0,6586.0,0.4971150926207106,65261,140068,0.46592369420567153,19582,38453,0.5092450524016332,78023,167507,0.46578948939447307
CD-22,3,6,10,2024-11-13 10:32:00,45679,101615,0.44953008906165426,856.0,2046.0,0.41837732160312807,66117,142114,0.4652391741841057,20438,40499,0.5046544359119979,78023,167507,0.46578948939447307
SD-5,12,6,10,2024-11-13 10:32:00,91382,182173,0.5016220845020941,0.0,0.0,,144213,273446,0.527391148526583,52831,91273,0.5788239676574671,189668,358804,0.5286117211625289
CD-21,2,6,10,2024-11-13 10:32:00,64986,128496,0.5057433694434068,1145.0,2606.0,0.43937068303914045,80522,155821,0.5167596151994918,15536,27325,0.5685635864592864,102798,195531,0.5257376068244933
CD-49,8,6,10,2024-11-13 10:32:00,145722,285076,0.5111689514375114,0.0,-1.0,,181691,349182,0.5203332359629076,35969,64106,0.5610863257729386,197397,378347,0.5217353381948318
CD-41,5,6,10,2024-11-13 10:32:00,119833,247121,0.4849162960654902,7521.0,15617.0,0.48159057437407954,153079,314281,0.48707685160731956,33246,67160,0.49502680166765933,171229,354445,0.48309046537544614
CD-40,4,6,10,2024-11-13 10:32:00,130259,298774,0.43597836491796477,76.0,185.0,0.41081081081081083,155950,351574,0.44357660122762205,25691,52800,0.4865719696969697,171637,383635,0.447396613969007
CD-47,7,6,10,2024-11-13 10:32:00,137577,275770,0.4988831272437176,0.0,0.0,,164372,322832,0.5091564652822521,26795,47062,0.5693553185160002,181721,353275,0.5143896397990234
AD-58,0,6,10,2024-11-13 10:32:00,48086,98720,0.48709481361426255,0.0,0.0,,66640,133972,0.49741737079389725,18554,35252,0.5263247475320549,77696,155988,0.4980895966356386
CD-13,1,6,10,2024-11-13 10:32:00,55625,114417,0.4861602733859479,0.0,0.0,,73563,150248,0.48961051062243754,17938,35831,0.5006279478663727,105554,210921,0.5004432939346959
SD-19,10,6,10,2024-11-13 10:32:00,123971,265553,0.4668408942847567,0.0,0.0,,149893,323979,0.46266270344682836,25922,58426,0.44367233765789205,173291,383030,0.45242148134610866
SD-37,11,6,10,2024-11-13 10:32:00,171458,355138,0.482792604564986,0.0,0.0,,206508,422437,0.4888492248548304,35050,67299,0.5208101160492726,226270,458615,0.4933767975316987
