Race,race_id,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
AD-58,0,48086,98720,0.48709481361426255,77696,155988,0.4980895966356386
CD-13,1,55625,114417,0.4861602733859479,105554,210921,0.5004432939346959
CD-21,2,64986,128496,0.5057433694434068,102798,195531,0.5257376068244933
CD-22,3,45679,101615,0.44953008906165426,78023,167507,0.46578948939447307
CD-40,4,130259,298774,0.43597836491796477,171637,383635,0.447396613969007
CD-41,5,119833,247121,0.4849162960654902,171229,354445,0.48309046537544614
CD-45,6,117564,244488,0.48085795621871014,158264,315875,0.5010336367233874
CD-47,7,137577,275770,0.4988831272437176,181721,353275,0.5143896397990234
CD-49,8,145722,285076,0.5111689514375114,197397,378347,0.5217353381948318
CD-9,9,74163,146313,0.5068790879826126,130183,251357,0.5179207262976563
SD-19,10,123971,265553,0.4668408942847567,173291,383030,0.45242148134610866
SD-37,11,171458,355138,0.482792604564986,226270,458615,0.4933767975316987
SD-5,12,91382,182173,0.5016220845020941,189668,358804,0.5286117211625289
